series id,year,period,value,data_type,description,percentile,race
LEU0252881500,1992,Q04,445.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1992,Q03,437.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1992,Q02,436.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1992,Q01,443.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1991,Q04,432.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1991,Q03,421.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1991,Q02,422.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1991,Q01,432.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1990,Q04,419.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1990,Q03,406.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1990,Q02,411.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1990,Q01,413.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1989,Q04,408.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1989,Q03,395.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1989,Q02,398.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1989,Q01,397.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1988,Q04,392.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1988,Q03,381.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1988,Q02,382.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1988,Q01,385.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1987,Q04,381.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1987,Q03,371.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1987,Q02,371.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1987,Q01,369.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1986,Q04,368.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1986,Q03,354.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1986,Q02,358.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1986,Q01,354.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1985,Q04,351.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1985,Q03,340.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1985,Q02,347.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1985,Q01,336.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1984,Q04,335.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1984,Q03,322.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1984,Q02,323.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1984,Q01,323.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1983,Q04,318.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1983,Q03,311.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1983,Q02,311.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1983,Q01,311.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1982,Q04,308.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1982,Q03,299.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1982,Q02,301.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1982,Q01,298.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1981,Q04,294.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1981,Q03,281.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1981,Q02,279.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1981,Q01,278.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1980,Q04,271.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1980,Q03,262.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1980,Q02,257.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1980,Q01,256.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1979,Q04,249.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1979,Q03,240.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1979,Q02,239.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252881500,1979,Q01,234.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All
LEU0252911200,2018,Q04,444.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2018,Q03,431.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2018,Q02,426.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2018,Q01,423.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2017,Q04,417.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2017,Q03,413.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2017,Q02,410.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2017,Q01,407.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2016,Q04,404.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2016,Q03,395.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2016,Q02,395.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2016,Q01,393.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2015,Q04,392.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2015,Q03,384.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2015,Q02,384.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2015,Q01,381.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2014,Q04,378.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2014,Q03,381.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2014,Q02,377.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2014,Q01,378.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2013,Q04,376.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2013,Q03,370.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2013,Q02,374.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2013,Q01,368.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2012,Q04,362.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2012,Q03,355.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2012,Q02,360.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2012,Q01,360.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2011,Q04,357.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2011,Q03,357.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2011,Q02,361.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2011,Q01,358.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2010,Q04,354.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2010,Q03,351.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2010,Q02,353.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2010,Q01,356.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2009,Q04,355.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2009,Q03,346.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2009,Q02,351.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2009,Q01,349.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2008,Q04,349.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2008,Q03,345.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2008,Q02,346.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2008,Q01,344.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2007,Q04,336.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2007,Q03,329.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2007,Q02,328.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2007,Q01,327.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2006,Q04,323.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2006,Q03,317.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2006,Q02,316.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2006,Q01,318.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2005,Q04,316.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2005,Q03,306.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2005,Q02,307.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2005,Q01,312.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2004,Q04,308.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2004,Q03,303.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2004,Q02,304.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2004,Q01,307.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2003,Q04,303.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2003,Q03,300.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2003,Q02,301.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2003,Q01,300.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2002,Q04,298.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2002,Q03,293.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2002,Q02,296.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2002,Q01,295.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2001,Q04,295.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2001,Q03,289.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2001,Q02,288.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2001,Q01,287.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2000,Q04,285.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2000,Q03,278.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2000,Q02,279.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252911200,2000,Q01,281.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All
LEU0252912400,2018,Q04,460.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2018,Q03,449.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2018,Q02,441.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2018,Q01,440.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2017,Q04,430.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2017,Q03,422.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2017,Q02,418.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2017,Q01,419.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2016,Q04,414.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2016,Q03,403.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2016,Q02,402.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2016,Q01,401.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2015,Q04,399.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2015,Q03,393.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2015,Q02,394.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2015,Q01,388.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2014,Q04,384.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2014,Q03,389.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2014,Q02,382.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2014,Q01,386.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2013,Q04,382.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2013,Q03,379.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2013,Q02,381.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2013,Q01,376.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2012,Q04,373.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2012,Q03,366.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2012,Q02,368.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
LEU0252912400,2012,Q01,367.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers, White",10,White
